"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Package","Matrix","abind","colorspace","conflicted","dmetar","dplyr","esc","forcats","fpc","ggplot2","gridExtra","lubridate","mapproj","maps","mclust","meta","metadat","metafor","netmeta","numDeriv","purrr","qdapRegex","readr","reshape2","robvis","sjmisc","stringr","tibble","tidyr","tidyverse"
"Version","1.7-3","1.4-8","2.1-2","1.2.0","0.1.0","1.1.4","0.5.1","1.0.0","2.2-13","4.0.1","2.3","1.9.4","1.2.12","3.4.3","6.1.2","8.2-1","1.4-0","4.2-0","3.2-0","2016.8-1.1","1.1.0","0.7.10","2.1.5","1.4.5","0.3.0.900","2.8.11","1.5.1","3.3.0","1.3.1","2.0.0"
