"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Package","Matrix","abind","colorspace","conflicted","dmetar","dplyr","esc","forcats","fpc","ggplot2","gridExtra","gt","lubridate","mapproj","maps","mclust","meta","metadat","metafor","numDeriv","purrr","readr","rmarkdown","robvis","sjmisc","stringr","tibble","tidyr","tidyverse","webshot2"
"Version","1.5-4","1.4-5","2.1-0","1.2.0","0.0.9000","1.1.2","0.5.1","1.0.0","2.2-10","3.4.2","2.3","0.9.0","1.9.2","1.2.11","3.4.1","6.0.0","6.2-1","1.2-0","4.2-0","2016.8-1.1","1.0.1","2.1.4","2.23","0.3.0","2.8.9","1.5.0","3.2.1","1.3.0","2.0.0","0.1.0"
